reviewerName,reviewText,isLocalGuide,reviews,photos,rating,timeReviewed,likes,responseTime,responseText
Jason Beutler,Great car buying experience.  Sales staff was easy to work with and very helpful. I was able negotiate a fair price on a new Ridgeline and finish up the entire sales and financing process in a couple of hours.,FALSE,1,0,5,11 months ago,0,11 months ago,"Thank you, Jason!"
Sherry Holweg,They treat us well,TRUE,13,0,5,3 weeks ago,0,3 weeks ago,Thank you for taking the time to review us! 
Christine Cottle,"They were awesome! After weeks of hard car shopping, I found one here that I wanted and they took care of all my questions and even helped by fixing/taking care of all the little things including putting new batteries in my keys. Thank you!",FALSE,3,0,5,10 months ago,0,9 months ago,"Thank you, Christine! We are so glad that our team was able to help you out! Please let us know if you have any other questions!"
Nikki Huntington,"Loved my experience with Cornel at Ken Garff! Awesome to work with, didnât push didnât shove to make a deal. He stayed later after closing to make sure we were taken care of. We were treated very well!! PS they have really good hot chocolate too! :)",FALSE,3,0,5,a year ago,0,a year ago,"Thanks, Nikki!"
Tiffany Davis,"Salesman was very rude, and impatient. Even though I was the one buying the car, he would only talk to my Dad and wouldn't answer my questions. He would only answer my Dad's. I recommend going somewhere else to purchase/look for a car.",FALSE,10,0,1,6 months ago,0,5 months ago,"Tiffany, we are sorry to hear about this experience. We never want our customers to feel undervalued or ignored. Unfortunately we can't find your info in our system. Would you mind calling our Brand Advocacy Manager, Carli Anderson, at 801.714.2284 so we can discuss this further? "
Craig Huff,Fantastic experience. They treated us great and it was an easy process,FALSE,1,0,5,6 months ago,0,6 months ago,"Craig, we are so glad to hear you had a fantastic experience! Thank you for taking the time to tell us about it. "
Anders S,"Friendly, helpful service advisor. Car was repaired first time in.",FALSE,27,1,5,4 months ago,0,4 months ago,Thanks for taking the time to review us. We are glad to hear you were well taken cared of. 
Benjamin Dickey,Hooked me up a couple times with great service,TRUE,83,1,5,5 months ago,0,5 months ago,Thanks for the review Benjamin! We are glad you have enjoyed working with us. 
Brent Meredith,Sales guy was arrogant...   offered a price on a car and he wouldnât even take it back to his boss to start the process of dealing. Went to Larry H Miller in SLC and they took the  offer I  originally made at Ken Garff. Highly recommend Larry H. miller,FALSE,1,0,1,8 months ago,0,8 months ago,"Brent, we are sorry that we weren't able to meet the price you wanted on that car. We have certain price ranges we have to stay within. But we are glad that you found the car you wanted at the price you wanted. Please let us know if there is anything we can do for you in the future. "
Stefan Gardner,Mitchell was incredibly helpful and friendly! no pressure and I walked away with a great deal on the car I love! Great dealership to work with!,FALSE,2,0,5,10 months ago,0,9 months ago,"Thank you so much Stefan, we're glad to hear it!"
shawn vincent,Awesome buying experience!  Cornell and Mike S. took exceptional care of us through the whole process despite the late hour.  Would definitely make the drive to Utah County to deal with them again.,FALSE,2,0,5,11 months ago,0,11 months ago,"Thanks so much, Shawn!"
MadWhit Cap,Everyone was so nice and it was a great deal on the car,FALSE,1,0,5,4 months ago,0,3 months ago,We are glad we were able to hook you up with the car you wanted. Thanks for taking the time to review us! 
Wade Ellis,They took took over an hour just to get me a spare key.,FALSE,3,0,3,a month ago,0,a month ago,"Wade, we want to apologize for the extra wait time on your spare key. We appreciate you choosing to work with us and we try  to not take up too much of our customer's time, but we aren't always perfect at this. We appreciate your patience â¦MoreWade, we want to apologize for the extra wait time on your spare key. We appreciate you choosing to work with us and we try  to not take up too much of our customer's time, but we aren't always perfect at this. We appreciate your patience with us. If there is anything we can do for you, please contact our Brand Advocacy Manager, Carli Anderson, at 801.714.2284 or carlia@kengarff.com. "
Dustan Kraus,"I got my passenger airbag replaced here and manual transmission fluid changed. It was a great experience. They provided a shuttle service since I didn't have my car for the day, and they were done sooner than they predicted. Also, the cost of the transmission fluid change ended up being cheaper than they quoted (and cheaper than anyone else I could find for the same job). Overall, just a great experience.",TRUE,30,0,5,a year ago,0,a year ago,"We're so happy that your experience with our service team was such a positive experience, Dustan! Glad that our team could get you back on the road for a fair price :)"
Brodie Bevans,"The place was clean and very organized. The staff was pleasant, a little condescending. When customer service is what you sell, it may be wise to train your staff on courtesy and respect. After all we all have to buy our first car from a dealer sometime. Overall, not a bad place to visit.",TRUE,58,5,3,11 months ago,0,11 months ago,"Brodie, congratulations on your car! Weâre sorry if you felt any disrespect at all while you were, and weâd really like to discuss this with you and apologize. Please contact our Brand Advocacy Manager, Carli, at carlia@kengarff.com or 801-714-2284. Thank you!"
Jasmine Turner,Fast service! Prompt responses to my questions. Fair trade in value.,FALSE,1,0,5,9 months ago,0,9 months ago,Thank you Jasmine! We are so glad you enjoyed working with us. 
Jessica Macedo,Service center is very helpful.,TRUE,46,20,5,3 months ago,0,3 months ago,We are glad to hear that you enjoyed working with us. Thanks for the review! 
Charles Polidori,"I called the Ken Garff Honda dealership before coming in and talked to a salesman named Parker. He gave me a lease price and I was very specific with my questions. I asked for a monthly payment for a lease and I was told $139 per month with $2400 down.  I asked if that was plus tax and he replied yes.I also asked how many miles the lease was and he said it was12000 per year.  I also asked him if he had different colors to choose from and he replied, we have them all.  I explained I was in from out of town and I was helping my daughter buy a car. I also was clear that I did not have time to waste and to please be forthcoming and that I wanted to make extra sure that he was fair with me.  When we went the next day, things couldn't have been further from the truth. He only had 1 color to choose from and the the price was not even close to what he had promised me on the phone. When I asked what happened to the $139 price, he said that it was âtoo tricky to get there"". I asked him what that meant and he said that he had made a mistake and the $2400 did not include the deposit which still didnât  even make sense because that was only $139 more.  Please don't fall into the same trap as I did and don't let them sell you a car for more than promised. I walked out and I will find an honest place to do business. I understand that they have to make money but you don't have to be dishonest to do so.",FALSE,5,0,1,a year ago,0,a year ago,"Charles, we're sorry for any miscommunication and frustration, and we'd really like to apologize and find a vehicle that is in the right price range for you and your daughter. Please contact our Brand Advocacy Manager, Carli, at carlia@kengarff.com or 801-714-2284. Thank you!"
Madison Kiel,"Iâm pretty unimpressed with this dealership and the salesperson i worked with specifically... For about 3 weeks I had been waiting to here back from Mikayla, the sales person i had talked with a few times, about a car I had clearly stated I was VERY interested in. Then on week 4 I reached out again and got in touch with the same salesperson through the online chat, told her about a different car I had been looking at and told her I wanted to test drive it because I was ready to buy. I gave her my number, asked her to call me and never heard from her until after I called HER extension to schedule a test drive. The next day she called me back after another dealership (Ken Garff Chevrolet in AF) reached out to me when i started looking on their website. I told her I found something else and she said âok thank you. iâll note that.â and then that was it. I understand car salesmen are busy, but I had made it very clear that i was ready to buy and I was interested in a few different vehicles and yet no one would contact me or work with me at all. I was able to buy a car i NEEDED all within a day at Ken Garff Chevrolet in AF. So maybe teach your salespeople how to better treat the customers who are obviously ready to buy.",FALSE,2,0,1,6 months ago,0,6 months ago,"Madison, thank you for taking the time to tell us about your experience. We obviously can't improve unless we know what needs to be improved. We want to apologize for the run around you experienced on our end, but we are happy to hear that â¦MoreMadison, thank you for taking the time to tell us about your experience. We obviously can't improve unless we know what needs to be improved. We want to apologize for the run around you experienced on our end, but we are happy to hear that you found the car you needed. If you have any questions or need anything in the future, please reach out to our Brand Advocacy Manager, Carli Anderson, at carlia@kengarff.com. Thank you. "
Caleb Scoville,Great service and great experience. You pay a little extra because they're very professional and they do a great job.,TRUE,136,112,5,9 months ago,0,9 months ago,"Thank you for your review, Caleb! We're glad our team has been so helpful and great to work with."
erik Newren,My fiancÃ© and I worked with Sales agent Lena.  She was great to work with and made sure she did everything she could to get us the best deal on a car as well as the best monthly rate.  She took good care of us and showed us multiple vehicles so that we could weigh our options.  She made sure to inform us of what was happening every step of the way and went above and beyond in teaching us how to use our new carâs features.  Lena came in after she had been running errands for her children just to make sure we were helped fully and because we requested we keep working with her on finding us a car.And to top it off she made sure to call us the next day to make sure we were fully satisfied with our new car as well as to take the time to ask how everything was going and to let us know that if we ever needed anything we could give her a call.Thanks for everything Lena and thanks to Ken Garff Honda in Orem for making our car shopping experience a great one!,FALSE,1,0,5,a year ago,0,a year ago,"Thanks so much for your nice review, Erik! We are so glad that Lena was such a rock star and really went above and beyond for you and your fiancÃ©. Please let us know if there's ever anything else we can help you with!"
Ray Ivins,"I wanted to thank Randy of Ken Garff Honda for daring my wife to go to Stockton 12 Honda in Sandy. The staff at Ken Garff was unfriendly and overpriced. Save yourself time and money by going to a professional Honda dealer at Stockton 12 from the start. Even the staff at Ken Garff knows the best deals on Hondas are  at Stockton 12. Thanks Randy, I was able to get my Odyssey for less money from a truly professional at Stockton 12.",FALSE,3,0,1,11 months ago,0,11 months ago,"Ray, we're so sorry that you were not impressed with the service you received here, and we'd really like to apologize-we'll be reaching out shortly. Thank you!"
laurie elkins,We have been well served. Excellent this time with Brandon as well a each and every time,FALSE,1,0,5,7 months ago,0,7 months ago,Thanks Laurie! We appreciate your comments. 
me notyu,"It's a car dealership so treat them like one. They will pretend to be your friend but they are not. They only care about your money. Consider everything they tell you to be a scam(all dealerships are like this) and you should be fine. Read the cost breakdown and if you see something you were not expecting then walk out. The salesman will chase you down and at this point you can demand an even better deal from him for him wasting your time. Never let them get away with such tactics. You are buying a car, not a friend.",FALSE,7,0,3,9 months ago,0,9 months ago,Hi! Thanks for your review. We would love to have a chance to discuss all of this with you--please contact us at carlia@kengarff.com or 801-714-2284. Thanks!
Kiya Hall,"I wrote a poor review for this company a few years ago and they contacted me and made me remove it by holding a refund that was due to me hostage. If you do choose to do business with them, which I highly discourage, please do three things. First, before you sign the final papers CHECK THE LENGTH OF YOUR LOAN. I was quoted an estimate for my monthly payment while working with a salesman who then sent me to the finance department. At that point I was given the official monthly payment which was close to the original quoted price. However, the life of my loan had been nearly doubled! The price was so similar because they had added on an insurance that only makes sense if you are buying a brand new car, and I was buying used. Second, immediately have your car CHECKED BY AN INDEPENDENT MECHANIC. I was sold a car that did not pass safety and emissions because the ball joints were bad. My understanding is that it is illegal for a dealer to sell a car that cannot pass safety and emissions. They sold the car to me because it passed S&E with their in-house mechanics, but those mechanics did shoddy work. Everything about my experience was horrid right done to them accusing me of having forged a signature so that they could get out of doing work that they had agreed to do while negotiating the price of the vehicle. Thus, as my third tip, GET EVERYTHING IN A FORMAL CONTRACT. Don't trust anything they say - even if it's written down by hand with their signature on it - get it typed and legally binding.",FALSE,6,0,1,a year ago,0,a year ago,"We want to ensure that all of our customers have a good experience, but we can't find you in our database. Would you please reach out to our Brand Advocacy Manager, Carli, at carlia@kengarff.com or 801-714-2284 so we can get to the bottom of this? It might be possible you are reviewing the wrong dealership. Thanks!"
Eddie Rose,"I had a recall to take care of. The customer service department was friendly and professional. I left my car and the dealership shuttle took me to my office while they did the repair, and then picked me back up at the end of the day. The service department did a complimentary inspection and provided a detailed list of the results which was in line with what I was expecting. They give their customers free Wiggy Wash cards at every visit.",TRUE,339,240,5,a year ago,0,a year ago,"We're so glad to hear it, Edmund! Please let us know if there's anything we can help with in the future!"
Tyson Currie,"It was one of the absolute best experiences Iâve had purchasing a vehicle!  Brent Packer is one hell of a sales man, very honest and straight forward in general just a great guy to deal with. I will indefinitely be a repeat customer do to that experience",FALSE,1,0,5,a year ago,0,a year ago,"We're so glad to hear that Brent has been so great to work with, Tyson! Thanks so much for letting us know. Please let us know if there's ever anything else we can help you with!"
Miguel AndrÃ©s Vivas Pineda,"All the people is really nice , they take care of you",TRUE,16,4,5,5 months ago,0,5 months ago,Thank you for the review Miguel! We are glad you enjoyed working with us. 
Becky Snider,Had to bring in my car to have a tire fixed. Always like the way they treat me.,TRUE,24,2,5,2 months ago,0,2 months ago,Thank you for taking the time to review us Becky! 
Carolyn Pennington,"People were friendly. Eventually manager went out of his way to help me w basic needs since we ran into issues. -Which I greatly appreciated. Promises were made & not kept. I love Hondas but Iâll only buy from owners in the future,used,  bc my lease & experience were totally not worth it.",FALSE,1,0,2,10 months ago,0,10 months ago,"Carolyn, weâre glad that our team was able to help you with the issues that arose during your lease, but we apologize that overall you were disappointed with your experience here. We'd really like to help resolve these issues--please contact our Brand Advocacy Manager, Carli, at carlia@kengarff.com or 801-714-2284. Thank you."
Daniel Nelson,"The staff seemed courteous and friendly. However, when I brought my vehicle in for service, I asked them for the recommended service and I asked them to simply change out my cabin light that burnt out. They did an oil change and changed my air filter. However, they did not change the cabin light. Furthermore, my vehicle has been leaking oil and after driving the vehicle, it smells hotâ¦two signs that something is clearly wrong. When I mentioned this to my advisor, he commented to me that the technician reviewed my vehicle with the checklist and my vehicle passed. Upon picking up my car, I paid for the services they did and inquired about the oil leak and the smell again. I took the advisor out to my vehicle and showed him the leak and the issue. He noticed the leak and said they could definitely look at that and take care of it if I scheduled an appointment. The thing is, I did schedule an appointment and the technician that looked at my vehicle and gave it a passing grade did not do his job, and nobody seemed to care. If the technician did not truly review the car when he reviewed the checklist, what else did he skip? What else did he not care about? And why was my car not properly fixed when I mentioned it more than once? Why would I need to make another appointment and come back a second time when I did make an appointment and they did not do their job the first time? I feel they seem friendly, but they donât care about vehicle maintenance or a patronâs time. After reviewing my checklist regarding quality and car care, this dealership received a grade of an F-. If I was not taken care right the first time, why would I schedule an appointment to be mistreated a second time and pay them for it? And oh yeaâ¦when I asked about my cabin lightâ¦nothingâ¦maybe I need an appointment for that too.",FALSE,1,0,1,a year ago,0,a year ago,"Daniel â we are so sorry to hear about your experiences with our Service Department. We strive to offer our customers an unmatched experience across all of our departments, and we are deeply sorry if we did not meet your expectations. â¦MoreDaniel â we are so sorry to hear about your experiences with our Service Department. We strive to offer our customers an unmatched experience across all of our departments, and we are deeply sorry if we did not meet your expectations. Please contact our Brand Advocacy Manager, Carli, at carlia@kengarff.com or 801-714-2284, so we can talk about what happened and apologize. Thank you!"
Meriah Otterstrom,"My husband and I went here a couple of times, scoping out the exact car we wanted. Each time, someone was there to assist us and to be friendly and helpful. Yesterday, Kirby was the salesperson, and he was able to confidently and kindly show us our options. He helped us through the tedious car buying process with ease, and helped us to get a great deal. We are very satisfied with our experience and would recommend.",FALSE,3,0,5,a year ago,0,a year ago,"Thank you, Meriah! We're so glad to hear that Kirby was such a big help--congratulations on the new car!"
Todd Nuttall,"Very good experience, didnât feel pressure any pressure at all.  Would recommend them to anybody.  Charlie and Colton weâre phenomenal to work with.",FALSE,1,0,5,8 months ago,0,8 months ago,"Todd, we are so glad to hear that Charlie and Colton took good care of you. We will make sure they see your kind comments. Thank you for telling us about it! "
Brett Carter,"Great experience picking up our new Honda. Kirby was very professional, knowelegable, and personable.",FALSE,2,0,5,8 months ago,0,8 months ago,Thank you Brett! We will make sure Kirby sees your kind comments. 
Scott Thomas,My salesman Ryan Paravan and Mike Zanger were wonderful to work with. The value and service are âtop notchâ. I couldnât be happier!My New Accord Sport is terrific.,FALSE,3,0,5,10 months ago,0,9 months ago,"Congrats on your new Accord Sport, Scott! We are so happy that Ryan and Mike were so great to work with!"
Russ Mann,Awesome service department! Awesome sales experience,TRUE,38,12,5,6 months ago,0,6 months ago,Thanks so much for the review Russ! 
Kita Huber,These guys were amazing! They were able to answer my questions and were able to get me into something that met with my budget.,FALSE,1,0,5,9 months ago,0,9 months ago,"Thanks for your review, Kita! We're so glad our team was so helpful and found you a great deal!"
Ken C,"Good service. My first time around was less than pleasant and after giving my feedback, the dealership wanted to do right by me and give them a second chance. I went back in for the same issue and had a much better experience. It could be that the receptionist I had such a hard time with wasn't working that day, or maybe things were changed for the better. Either way, they did what they said they would do. Glad I gave them a second chance.",TRUE,35,413,5,a year ago,0,a year ago,"Thanks so much for your update, Ken! We are very glad to hear that our team really made up for your first experience. Please let us know if there is any other way we can help in the future!"
Andrew Oldroyd,Bought a Pilot in March of 2017. Was promised some accessories at cost but then on the paperwork they were at MSRP.  Was told it was too late to change but that they would make it up to me with some gas fill ups which never happened.  I was pretty disappointed since I didnât get a great deal in the first place. Not a bad place but Iâll buy elsewhere next time.,FALSE,1,0,3,11 months ago,0,NA,NA
Kitty Bair,Love my Honda from Ken Garff Honda.,TRUE,41,3,5,6 days ago,0,a year ago,"Thank you, Kitty!"
Vanessa Anderson-Velasquez,I enjoyed working with staff at Ken Garf.  Mark was very helpful and answered all our questions.  We are very happy with our purchase.,FALSE,1,0,4,9 months ago,0,9 months ago,"Vanessa, thank you for taking the time to tell us about your experience. We hope you enjoy your new TLX! "
Michael Hansen,Go see Brent. Super straight forward. Most honest car salesman I have met so far. Only downfall is that he is a Lakers fan.,FALSE,25,0,5,11 months ago,0,11 months ago,"Thank you, Michael! It's great to hear you had a 5-star experience working with Brent, despite your differences ;)!  Please let us know if there is anything else we can do to assist you. "
Doug Gardner,Great sales and finance people. Very quick and professional. Great price on the car I purchased Definitely would by another car from them.,FALSE,1,0,5,11 months ago,0,11 months ago,"Thank you, Doug!"
Tyler Pitts,Cornel was awesome!  He helped us find the right vehicle for us and even stayed late to show us how to use all the features.,FALSE,2,0,5,9 months ago,0,9 months ago,"Thanks for your review, Tyler! We're so glad Cornel was so helpful--congrats on your vehicle!"
Drew Briney,"Positive: I love my car and I appreciated their willingness to finance my third or fourth vehicle purchase.Negative: I went to Ken Garff Honda of Orem because of their ""We Hear You"" ads. I was tired of dealers who were pushy and disinterested in customer service. One of the sales reps told me they spent something like $5 million on that ad.  I wish there was a kernel of truth to it. I've been four months without a car now.  Thanks Ken Garff.  The Oregon DMV told me to send a registration packet to the dealership where I leased my Honda Civic. I overnighted the package with forwarding postage information in the packet.  Nothing happened.  I made follow up phone calls and left messages. No one ever called me back.  I was going to make a phone call stating that I was looking to purchase a fleet of vehicles to see if that would get their attention but I got a live person on the line so they transferred me to their financial department.  The guy said ""Oh, that was supposed to be sent to Honda Financial, not us."" I noted that no one ever called to tell me, no one returned the package, and apparently, no one forwarded the information to Honda Financial.  He said he'd look into it and call me back. I hoped they'd forwarded the information and that it was in process but that hope was vain. That phone call was roughly a couple months before I wrote this review. No return call has come.  Apparently, they only ""Hear You"" if you're purchasing a new vehicle.  Otherwise, they seem disinterested in taking care of existing customers.  I take it back ... my mistake ... they DID call to complain when my auto-pay failed because I changed banks. That phone call was when someone actually gave me the department contact information I needed for registration problems.So, I sent a new packet of information to Honda Financial with the information the Oregon DMV said to fill out. The DMV said the dealership should fill in remaining boxes so I left them blank.  Weeks later, Honda Financial sent the information back asking me to fill in boxes the DMV said the dealerships prefer to fill in and to sign (where the DMV clerk told me not to sign) so I sent the information back to Honda Financial - third time processing the paperwork. To be fair, the Oregon DMV ridiculously takes 6 weeks to process an out of state registration (though they generously give you temporary permits for an extra charge but only for those 6 weeks).  If the dealership takes any time at all to turn in the paperwork, you're out of luck driving your car unless you want to risk a hefty ticket.  Since, Ken Garff Honda of Orem wasn't professional enough to listen to any of my voicemails or to return the registration packet or to do anything else pro-active for an existing, non-purchasing customer, I'm out of a car for many weeks. Thanks for listening Ken Garff Honda of Orem.On a separate note, I went to the Orem branch once to look into upgrading my vehicle.  I knew I couldn't afford it for a few months but I wanted to look into options before committing to a purchase.  The salesmen were immediately present to see if I could be helped but once I informed the sales rep that I wouldn't be purchasing for a few months, he charmingly told me to enjoy looking at the various vehicles on display and to let him know when I was ready to purchase something.  So much for answering my questions.",FALSE,3,0,1,7 months ago,0,7 months ago,"Drew, thank you for taking a moment to speak with us about your experience. We are glad that you gave us a chance to make this right. We know you moved to another state, but if you need anything in the future, don't hesitate to reach out to us. "
speddoc1,"Excellent service, treated us like honored guests as we made a significant financial decision.  We recommend Ken Garff to one and all.",FALSE,2,0,5,10 months ago,0,9 months ago,Thank you for your review! :)
Robert Scott,I really enjoyed my buying experience at Ken Garff Honda in Orem. There is a great atmosphere at the dealership and I never felt pushed or hurried. Bob did a great job finding a car that meet my needs and Dave found me a great rate on a loan. Thank you!,FALSE,1,0,5,a year ago,0,a year ago,"Thank you very much, Robert!"
Brad Kramer,Treated so well. Randy was an incredible rep and got us a great deal!,FALSE,1,0,5,8 months ago,0,8 months ago,We are so glad you enjoyed working with us. Thank you for taking the time to tell us about it! 
Sherri Graton,I just wanted to thank Colton Maxwell for his help today. My lease was up on my Pilot and I was worried about turning it in and still owing money and he explained all my options and was so helpful. As soon as I am in a position to buy another car I'm going to Ken Graff Honda!,FALSE,3,0,5,8 months ago,0,8 months ago,Thanks for the review Sherri! We will make sure Colton sees your kind comments. Let us know if there is anything we can help you with in the future! 
Angel Slauth,Very friendly and nice staff. Great people to work with. So excited about my new car.,FALSE,2,0,5,11 months ago,0,11 months ago,"Thank you, Angel! Congrats on your new car!"
Brea Gwilliam,"Unfortunately I have had nothing but problems with the Honda Accord they sold me less than a year ago. When I went in to have a routine oil check with them several months ago, the mechanic let me know that Ken Garff had messed up and looked past the fact that my rotors are completely corroded.  They sold the car to me as is, but there have been countless problems. For several months, my car has been having problems starting. Come to find out I have a bad alternator.  They should do a much better job at taking care of the cars they sell. I am not happy with the way that they treat their cars. When selling a car for the price I paid, there should not be this many problems. I will not be buying any cars from them in the future.  It is really lame that they can't take care of their customers and make sure a car is in good condition before selling. I wish I could have written a good review about them, but I am not pleased with the company at all.",FALSE,2,0,1,a year ago,0,a year ago,"Brea, we are so sorry that your Accord has been so frustrating to deal with, and weâd like to talk to you about this asap. Please contact our Brand Advocacy Manager, Carli, at carlia@kengarff.com or 801-714-2284. Thank you!"
Diane Johnson,"Avoid unless you do not have a choice. Needed warranty work done (seatbelt).  They were the nearest dealer (100 mile drive).  I made an appt for 9am. Arrived at the appt and was told they couldn't get me in until 10:30.  When I pointed out the appt was at 9, they said that was just a ""suggestion"" and it put me in line at that time.  Also told me airbags were on recall so they would be replaced and it would be at least an hour job.   Then to really complete the waste of time, before starting they did a  complimentary (and unasked for) 24 point inspection and somehow found over $3000 dollars of repairs needed. VERY overpriced.  An oil change for $500 (that was just done last week) and over $1000 for a tune-up.  No, I don't think so. Total ripoff.  At least the popcorn and drinks were free for the 2-1/2 hour wait!",TRUE,99,6,1,8 months ago,0,8 months ago,"Diane, we are having a hard time finding information for you in our system under the name for this review. We would love to speak with you about your experience though. Please reach out to our Brand Advocacy Manager, Carli Anderson, at carlia@kengarff.com or 801.714.2284. We look forward to hearing from you. "
Joseph Jenkins,Cornel is a stud at knowing all available cars and what would best fit my needs and budgetFairly priced vehicles.Overall we have had a good experience at Ken Garff and have returned to buy a second time as a result.,FALSE,4,5,5,8 months ago,0,a year ago,"Thanks for your review, Joseph! We're so glad that Cornel was so awesome to work with--congrats on your new car!"
Kyle Adams,Overpriced and they give conflicting opinions on what was wrong with my car. Definitely makes me feel like they are lying to me.,TRUE,139,393,1,7 months ago,0,7 months ago,"Mr. Adams, we would love to reach out to you and discuss your experience with us in more detail. Unfortunately we have multiple Kyle Adams in our system who have been in recently. Would you mind contacting our Brand Advocacy Manager, Carli â¦MoreMr. Adams, we would love to reach out to you and discuss your experience with us in more detail. Unfortunately we have multiple Kyle Adams in our system who have been in recently. Would you mind contacting our Brand Advocacy Manager, Carli Anderson, at carlia@kengarff.com or 801.714.2284 ? That way we can ensure that we talk to the right person. Thank you!"
Heather Allred,Buying a car at Ken Garff Honda of Orem was amazing! Our salesman Randy wasn't pushy at all and took the time to allow us to decide which vehicle worked best for our family. This is the third vehicle we've purchased at Ken Garff of Orem and will definitely take our business there again. Thanks Randy and Ken Garff of Orem!,FALSE,1,0,5,a year ago,0,a year ago,"Thank you, Heather! We are so happy to have had you in our Garff family over the years and that Randy lived up to the standards we've set with your previous purchases. Please let us know if there is anything else you need!"
Carolyn Pennington,"Iâve had many issues w all departments at Orem Honda. Everyone is nice & polite- when I get their surveys saying they want my feedback, I give it & no one responds. I got a recall on my new Accord, I scheduled an appt, after an hour they told me they didnât have the parts... to fix the problem they created w the car....& scheduled an appt....still not fixed bc each time I call for appt they say it will take hours (I was told itâs a 15 min fix) They are polite in person but do not stand behind the price of a Honda. My husband drives a Hyundai & it needed a repair. They ubered him both ways free of charge. Honda of Orem needs to step up. Mind you this ârepairâ is a recall & they make it difficult & insult me... I am open to them repairing my relationship w them but have little hope. My Rec is go w Toyota or drive to a different dealership.",FALSE,2,0,1,8 months ago,0,8 months ago,"Carolyn, we are so sorry to hear about your experience with us. We are working with our Service Manager on this and will be reaching out to you soon. "
Russell Cook,"Was not at Ken Garff Honda but at Ken Garff Volkswagen, helping with annual inventory count.   The staff is great, the dinner they provided was wonderful. The count went very smooth this year and we were out by 1200",TRUE,27,79,5,a year ago,0,a year ago,"Thank you, Russell! We're glad our friends at VW were so helpful!"
chereneheelis,"I just want everyone out there to know that the service at Ken Garff Honda of Orem is exceptional! If you need work done or just an oil change/filter they will do it well. It also helps to get a service advisor that will not only listen, but explain everything that is going on and keep you informed. He helped me get my daughters car all up to date on all the things that needed to be done and explained everything. So if you need someone to ask and help you out JB PACKER is the guy. Thanks JB for everything you have done and your excellent service!  Honda is lucky to have you as part of their team. Thanks again.",FALSE,2,0,5,a year ago,0,a year ago,Thank you so much for trusting our team with your families' vehicles! Please come back and see us if there's anything else you need! :)
Corey Gates,Great Experience,FALSE,20,2,5,2 days ago,0,3 months ago,Thank you for the stars Corey! 
Zach R,I just recently bought a used car from Ken Garff Honda Orem. I called about the car I was interested in before driving from Salt Lake to Orem and Zach (My Salesman) was able to hold the car for me until I had a chance to see it. Upon arriving at the dealership my salesman was very respectful and had great customer service skills. My whole experience at this dealership was very positive and I got the car I wanted for a good price. I would recommend this dealership to anyone looking for a new car. Make sure you ask for Zach.,FALSE,4,0,5,a year ago,0,a year ago,Thank you for the review! We're glad to hear that your salesman was able to help you get the car you were interested in!
jolene young,Mitchell was great! Leasing my second CR-V was a breeze for me. He had everything ready when I arrived at the dealership so the process was quick. I love the Ken Garff dealership!,FALSE,2,0,5,a year ago,0,a year ago,"Thank you so much, Jolene! Congratulations on your new CR-V! :)"
christian youse,I did an alignment and a tpms sensor here on my Honda accord. I made it 10 feet from my parking space and the CV axel broke and the wheel collapsed into the wheel well. I understand that this is a wear and tear item but I've been driving it before with no signs of the CV axel going out. Further more in the inspection report they said that my car was in great shape. Maybe just switch out the fluids. After the axel broke they said the they did notice some greese leaking from the axel boot. I feel like maybe that should have been mentioned in my report. I am left wondering what kind of driving was done to the car while it was in there possession in order to make a CV axel brake just seconds after returning it to me and not at some other time. If I had made it onto the highway and something like this had happened I would be writing this from a hospital. Kind of scary. And no way I'm paying 500+ dollars to fix the axel that mystirusly broke after these guys gave the keys back. Had it towed to someone I can trust. If only I knew someone else that could program new tire pressure sensors I might not be in this predicament. (This was more of a vent then a personal vendetta against these guys. I was happy with the service up till the point my car broke. The only complaint is that they are a little pricey),FALSE,2,0,2,8 months ago,0,8 months ago,"Christian, thank you for taking the time to talk to us today about your broken ball joint. We were happy to hear that it was under warranty and we are grateful that you let us refund your alignment. If there is anything else we can help you with, please don't hesitate to reach out. Thank you! "
tiffanie larae,I worked with Randy. He was very nice and helpful.  He helped me out and I'm so grateful to him.  Everyone else was nice as well.  The transaction went smoothly and I didn't feel pressured to do anything.  The receptionist was kind and made sure the movie was playing for my kids who got to have popcorn and Starbucks hot chocolate.  Overall great experience.,FALSE,2,0,5,a year ago,0,NA,NA
Bruce Jensen II,"great people, great experience.   need some free swag",FALSE,1,0,4,8 months ago,0,8 months ago,Thank you for the review Bruce! We will see what we can do about providing free swag. 
James Nixon,Randy was very friendly and knowledgeable . Not pushy but helpful. Enjoyed the experience.,FALSE,4,0,5,10 months ago,0,10 months ago,"Thanks so much, James!"
Alan Searle,Great place to do business.,FALSE,1,0,5,5 months ago,0,5 months ago,Thank you for the review Alan! We are glad you enjoy working with us. 
Mary Olsen,"It was a great experienceâno pressure. Parker was great to work with. Have bought from Ken Garff before, liked it then, like it now.",FALSE,2,0,5,a year ago,0,a year ago,"We're so glad that Parker was so great to work with, Mary! Thanks so much for coming to see us again at Ken Garff!"
Deanne Shields,Everyone was helpful and worked to make sure we got the vehicle and the price we needed. The paperwork was done quickly and they made the experience of buying a car pleasant.,FALSE,4,0,5,11 months ago,0,11 months ago,"Thank you so much, Deanne! Congratulations on your car! :)"
